,in_chinese,pin_yin,text,category,origin
0, 不作不死。,Bù zuò bù sǐ. 'Not do not die.', If you don't do stupid things you won't end up in tragedy.,Wisdom,Chinese
1, 塞翁失马，焉知非福。,"Sài Wēng shī mǎ, yān zhī fēi fú. 'Sai Weng [legendary old man's name] lost horse, how know not blessing'.", Blessings come in disguise.,Wisdom,Chinese
2, 小洞不补，大洞吃苦。,"Xiǎodòng bù bǔ, dàdòng chī kǔ.'small hole not mend; big hole eat hardship'"," If small holes aren't fixed, then big holes will bring hardship.",Wisdom,Chinese
3, 水满则溢。,Shuǐmǎn zé yì. 'water full but overflows', Water flows in only to flow out.,Wisdom,Chinese
4, 读万卷书不如行万里路。 ,"Dú wànjuànshū bù rú xíng wànlǐlù. 'reading 10,000 books, not as good as walking 10,000 li road'", It's better to walk thousands of miles than to read thousands of books.,Wisdom,Chinese
5, 三个和尚没水喝。 ,Sān gè héshàng méi shuǐ hē. 'three monks have no water to drink', Too many cooks spoil the broth.,Wisdom,Chinese
6, 一笑解千愁。 ,"Yī xiào jiě qiānchou. 'one smile undoes 1,000 worries'", A smile dispels many worries.,Wisdom,Chinese
7," 笑一笑,十年少。 ","Xiào yī xiào, shínián shào. 'laugh,ten years younger'", Happiness is the best cosmetic.,Wisdom,Chinese
8, 美名胜过美貌。 ,Měimíng shèng guò měimào. 'beautiful name beats beautiful looks', A good name is better than a good face.,Wisdom,Chinese
9, 不善始者不善终。 ,Bú shànshǐzhě bù shànzhōng. 'not good starter not good end', A bad beginning makes a bad ending.,Wisdom,Chinese
10, 大处着眼，小处着手。,"Dàchù zhuó yǎn, xiǎochù zhuó shǒu. 'big points apply eye; small points apply hand'", Keep the general goal in sight while tackling daily tasks.,Wisdom,Chinese
11, 一步一个脚印。 ,Yībù yīgè jiǎoyìn. 'one step one footprint', Every step makes a footprint.,Wisdom,Chinese
12, 一个萝卜一个坑儿。 ,Yīgè luóbo yīgè kēngr. 'one turnip one hole'," Each has his own task, and nobody is dispensable.",Wisdom,Chinese
13, 留得青山在，不怕没柴烧。 ,"Liú dé qīngshān zài, búpà méi chái shāo. 'remain green hills present, not fear no firewood burn'"," While there are green hills, there'll be wood to burn.",Wisdom,Chinese
14, 一鸟在手胜过双鸟在林。 ,Yī niǎo zài shǒu shèng guò shuāng niǎo zài lín 'one bird in hand beats pair birds in forest', A bird in the hand is worth than two in the bush.,Wisdom,Chinese
15, 人无完人，金无足赤。,"Rén wú wánrén, jīn wú zúchì. 'man lackperfect man; gold lack enoughred'", No man is a perfect man; no gold is sufficiently bare.,Wisdom,Chinese
16," 千军易得, 一将难求。 ","Qiānjūn yìdé, yī jiang nánqiú. 'thousand army easy obtain; one general hard request'"," It is easy to find a thousand soldiers, but hard to find a good general.",Wisdom,Chinese
17, 宰相肚里好撑船。 ,Zǎixiànɡ dùlǐ hǎo chēnɡchuán. 'prime minister stomach inside good-to pole boat', A prime minister's mind should be broad enough for poling a boat.,Wisdom,Chinese
18, 难得糊涂。 ,Nándé hútu. 'hard get confusion', Ignorance is bliss.,Wisdom,Chinese
19, 祸从口出。 ,Huò cóng kǒu chū. 'disaster from mouth exits', Disaster comes from careless talk.,Wisdom,Chinese
20, 三人一条心，黄土变成金。,"Sānrén yìtiáoxīn, huángtǔ biàn chéng jīn. 'three people one heart; yellow earth become gold'"," If people are of one heart, even loess can become gold.",Wisdom,Chinese
21, 身正不怕影子斜。,Shēnzhèng búpà yǐngzi xié. 'body straight not fear shadow slanting', One who stands straight doesn't fear a crooked shadow.,Wisdom,Chinese
22, 有借有还，再借不难。,"Yǒu jiè yǒu huán, zài jiè bùnán. Have loan have repayment; again loan not hard.", Timely return of a loan makes it easier to borrow a second time.,Wisdom,Chinese
